"company_id","company_name","company_tag","company_salary","company_location","company_headcount","company_revenue","company_info","reg_dt","mod_dt"
"117",데브시스터즈(Devsisters),"커피·스낵바
유급휴가
자기계발지원
건강검진지원
휴가비
연봉상위1%
51~300명
보너스
설립10년이상
누적투자100억이상
유망산업
임직원할인
AI 선도 기업","3960","","300","3701.9억원","{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09\uc5c5"", ""\uc5f0\ud601"": ""18\ub144 (\n2007\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc0ac\ubb34 \uc9c0\uc6d0 \uc11c\ube44\uc2a4\uc5c5"", ""\ub9e4\ucd9c\uc561"": ""3,701\uc5b5 9,115\ub9cc\n\uc6d0"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""8,322\n\ub9cc\uc6d0"", ""\ubc95\uc778\uc2dc\uc7a5\uad6c\ubd84"": ""\ucf54\uc2a4\ub2e5"", ""\uc0c1\uc7a5\uc885\ubaa9\ucf54\ub4dc"": ""194480"", ""\ucd1d\uc778\uc6d0 (\uae08\uc735\uac10\ub3c5\uc6d0)"": ""-"", ""\ub300\ud45c\uc790\uba85"": ""\uc870\uae38\ud604"", ""\ud648\ud398\uc774\uc9c0"": ""www.devsisters.com"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""3\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""295\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2013-\uc11c\uc6b8\uac15\ub0a8-00151"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""300\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""98\n\uba85\n/\n104\n\uba85""}","2025-04-20 18:50:37","2025-04-20 18:50:37"
"376",파수,"커피·스낵바
리프레시휴가
자기계발지원
식대지원
대출지원
건강검진지원
휴가비
복지포인트
유망산업
51~300명
연봉상위6~10%
인원 급성장
설립10년이상
누적투자100억이상
AI 선도 기업","3568","","266","368.1억원","{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09\uc5c5"", ""\uc5f0\ud601"": ""25\ub144 (\n2000\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09"", ""\ub9e4\ucd9c\uc561"": ""368\uc5b5 1,490\ub9cc\n\uc6d0"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""5,802\n\ub9cc\uc6d0"", ""\ubc95\uc778\uc2dc\uc7a5\uad6c\ubd84"": ""\ucf54\uc2a4\ub2e5"", ""\uc0c1\uc7a5\uc885\ubaa9\ucf54\ub4dc"": ""150900"", ""\ucd1d\uc778\uc6d0 (\uae08\uc735\uac10\ub3c5\uc6d0)"": ""-"", ""\ub300\ud45c\uc790\uba85"": ""\uc870\uaddc\uace4"", ""\ud648\ud398\uc774\uc9c0"": ""www.fasoo.com"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""256\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2020-\uc11c\uc6b8\ub9c8\ud3ec-0963"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""266\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""52\n\uba85\n/\n72\n\uba85""}","2025-04-20 18:50:42","2025-04-20 18:50:42"
"49199",더블티,"커피·스낵바
자기계발지원
유망산업
50명이하
설립3년이하
보너스
워크샵
출산휴가
휴가비
사내동호회
임직원할인
편의시설
장비지원
육아휴직
인원 급성장
AI 선도 기업","3618","","14","40.7억원","{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09\uc5c5"", ""\uc5f0\ud601"": ""4\ub144 (\n2021\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc0c1\ud488 \uc885\ud569 \ub3c4\ub9e4\uc5c5"", ""\ub9e4\ucd9c\uc561"": ""40\uc5b5 7,750\ub9cc\n\uc6d0"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""4,843\n\ub9cc\uc6d0"", ""\ub300\ud45c\uc790\uba85"": ""-"", ""\ud648\ud398\uc774\uc9c0"": ""-"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""23\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2023-\uc218\uc6d0\uad8c\uc120-0904"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""14\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""30\n\uba85\n/\n23\n\uba85""}","2025-04-20 18:50:46","2025-04-20 18:50:46"
"12455",트릿지,"51~300명
설립4~9년
누적투자100억이상
연봉상위11~20%
대규모 채용 중","3595",서울특별시 서초구 방배로 226,"121","265.2억원","{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09\uc5c5"", ""\uc5f0\ud601"": ""9\ub144 (\n2016\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09"", ""\ub9e4\ucd9c\uc561"": ""265\uc5b5 2,790\ub9cc\n\uc6d0"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""5,287\n\ub9cc\uc6d0"", ""\ub300\ud45c\uc790\uba85"": ""-"", ""\ud648\ud398\uc774\uc9c0"": ""-"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""164\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2017-\uc11c\uc6b8\uc11c\ucd08-925"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""121\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""113\n\uba85\n/\n28\n\uba85""}","2025-04-20 18:50:51","2025-04-20 18:50:51"
"47126",토스씨엑스,"보너스
커피·스낵바
편의시설
단체보험
51~300명
설립3년이하
연봉상위11~20%","2903","서울특별시 강남구 테헤란로 133, 9층(역삼동, 한국타이어빌딩)","304",,"{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uadf8 \uc678 \uae30\ud0c0 \uc0ac\uc5c5 \uc9c0\uc6d0 \uc11c\ube44\uc2a4\uc5c5"", ""\uc5f0\ud601"": ""4\ub144 (\n2021\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uadf8 \uc678 \uae30\ud0c0 \uc0ac\uc5c5 \uc9c0\uc6d0 \uc11c\ube44\uc2a4\uc5c5"", ""\ub9e4\ucd9c\uc561"": ""-"", ""\uae30\uc5c5\uc720\ud615"": ""\uae30\ud0c0 \ubc95\uc778"", ""\ud3c9\uade0\uc5f0\ubd09"": ""4,046\n\ub9cc\uc6d0"", ""\ub300\ud45c\uc790\uba85"": ""-"", ""\ud648\ud398\uc774\uc9c0"": ""-"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""300\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""-"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""304\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""144\n\uba85\n/\n125\n\uba85""}","2025-04-20 18:50:55","2025-04-20 18:50:55"
"47031",르몽,"유망산업
휴가비
설립3년이하
커피·스낵바
자유로운휴가
보너스
AI 선도 기업",정보없음,"서울 강남구 역삼로 172, 마루 360, 9층","1",,"{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc758\ubcf5 \uc18c\ub9e4\uc5c5"", ""\uc5f0\ud601"": ""3\ub144 (\n2022\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""-"", ""\ub9e4\ucd9c\uc561"": ""-"", ""\ud68c\uc0ac\uad6c\ubd84"": ""\uac1c\uc778"", ""\ud3c9\uade0\uc5f0\ubd09"": ""-"", ""\ud648\ud398\uc774\uc9c0"": ""-"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""1\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""-""}","2025-04-20 18:50:59","2025-04-20 18:50:59"
"5268",토탈미디어그램,"커피·스낵바
자기계발지원
사내동호회
연봉상위11~20%
50명이하
설립10년이상
식대지원","2462","선릉로108길 7, 2층 수본빌딩","8","8.7억원","{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uad11\uace0 \ub300\ud589\uc5c5"", ""\uc5f0\ud601"": ""16\ub144 (\n2009\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uad11\uace0 \ub300\ud589\uc5c5"", ""\ub9e4\ucd9c\uc561"": ""8\uc5b5 7,257\ub9cc\n\uc6d0"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""3,688\n\ub9cc\uc6d0"", ""\ub300\ud45c\uc790\uba85"": ""-"", ""\ud648\ud398\uc774\uc9c0"": ""-"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""6\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2011-\uc11c\uc6b8\uac15\ub0a8-00311"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""8\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""4\n\uba85\n/\n3\n\uba85""}","2025-04-20 18:51:04","2025-04-20 18:51:04"
"21715",아이스크림아트,"51~300명
설립4~9년
인원 급성장
연봉상위11~20%
편의시설
커피·스낵바
누적투자100억이상
AI 선도 기업","3484","서울 강남구 테헤란로 88길 15, 5층","60",,"{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09\uc5c5"", ""\uc5f0\ud601"": ""6\ub144 (\n2019\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09"", ""\ub9e4\ucd9c\uc561"": ""-"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""5,124\n\ub9cc\uc6d0"", ""\ub300\ud45c\uc790\uba85"": ""-"", ""\ud648\ud398\uc774\uc9c0"": ""-"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""62\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2021-\uc11c\uc6b8\uac15\ub0a8-01922"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""60\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""26\n\uba85\n/\n33\n\uba85""}","2025-04-20 18:51:08","2025-04-20 18:51:08"
"5866",스카이월드와이드,"장비지원
커피·스낵바
편의시설
자기계발지원
사내동호회
건강검진지원
식대지원
복지포인트
수평적조직
연봉상위11~20%
51~300명
자율복장
설립10년이상
누적투자100억이상
AI 선도 기업",정보없음,서울특별시 강남구 테헤란로 516 4층,"35","144.2억원","{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09\uc5c5"", ""\uc5f0\ud601"": ""12\ub144 (\n2013\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc2dc\uc2a4\ud15c\u318d\uc751\uc6a9 \uc18c\ud504\ud2b8\uc6e8\uc5b4 \uac1c\ubc1c \ubc0f \uacf5\uae09"", ""\ub9e4\ucd9c\uc561"": ""144\uc5b5 2,829\ub9cc\n\uc6d0"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""4,915\n\ub9cc\uc6d0"", ""\ubc95\uc778\uc2dc\uc7a5\uad6c\ubd84"": ""\ucf54\uc2a4\ub2e5"", ""\uc0c1\uc7a5\uc885\ubaa9\ucf54\ub4dc"": ""357880"", ""\ucd1d\uc778\uc6d0 (\uae08\uc735\uac10\ub3c5\uc6d0)"": ""-"", ""\ub300\ud45c\uc790\uba85"": ""\uc2e0\uc7ac\ud601"", ""\ud648\ud398\uc774\uc9c0"": ""www.skaiworldwide.com"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""68\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2023-\uc11c\uc6b8\uac15\ub0a8-01705"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""35\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""9\n\uba85\n/\n4\n\uba85""}","2025-04-20 18:51:12","2025-04-20 18:51:12"
"15481",아이헤이트플라잉버그스,"커피·스낵바
식대지원
사내동호회
301~1,000명
누적투자100억이상
출산휴가
인원 급성장
설립10년이상
연봉 업계평균이상
적극 채용 중",비공개,"서울특별시 영등포구 여의대로 108 파크원 타워1, 38-39층","532",비공개,"{""\ud45c\uc900\uc0b0\uc5c5\ubd84\ub958"": ""\uc77c\ubc18 \uad50\uc2b5\ud559\uc6d0"", ""\uc5f0\ud601"": ""13\ub144 (\n2012\n\ub144 \uc124\ub9bd)"", ""NTS\ubd84\ub958"": ""\uc77c\ubc18 \uad50\uc2b5\ud559\uc6d0"", ""\ub9e4\ucd9c\uc561"": ""\ube44\uacf5\uac1c"", ""\uae30\uc5c5\uc720\ud615"": ""\uc8fc\uc2dd\ud68c\uc0ac"", ""\ud3c9\uade0\uc5f0\ubd09"": ""\ube44\uacf5\uac1c"", ""\ub300\ud45c\uc790\uba85"": ""\ubc15\ucc2c\uc6a9"", ""\ud648\ud398\uc774\uc9c0"": ""https://careers.mildang.kr/"", ""\uace0\uc6a9\ubcf4\ud5d8 \uc0ac\uc5c5\uc7a5 \uc218"": ""1\n\uac1c"", ""\uace0\uc6a9\ubcf4\ud5d8 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""546\n\uba85"", ""\ud1b5\uc2e0\ud310\ub9e4\uad00\ub9ac\ubc88\ud638"": ""2022-\uc11c\uc6b8\uc601\ub4f1\ud3ec-1800"", ""\uad6d\ubbfc\uc5f0\uae08 \uac00\uc785 \uc0ac\uc6d0\uc218"": ""532\n\uba85"", ""\ud1f4\uc0ac/\uc785\uc0ac (1\ub144)"": ""247\n\uba85\n/\n270\n\uba85""}","2025-04-20 18:51:17","2025-04-20 18:51:17"
